DateTime,cash,shares,holdings,total,returns,cumulative_returns,commission_paid
2024-01-02,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-03,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-04,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-05,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-08,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-09,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-10,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-11,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-12,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-15,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-16,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-17,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-18,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-19,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-22,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-23,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-24,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-25,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-26,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-29,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-30,10000.00,0.00,0.00,10000.00,0.00%,0.00%,0.00
2024-01-31,32.51,6500.00,9964.50,9997.01,-0.03%,-0.03%,2.99
2024-02-01,10091.49,0.00,0.00,10091.49,0.95%,0.91%,3.02
2024-02-02,135.71,6600.00,9952.80,10088.51,-0.03%,0.89%,2.99
2024-02-05,135.71,6600.00,10078.20,10213.91,1.24%,2.14%,0.00
2024-02-06,135.71,6600.00,10711.80,10847.51,6.20%,8.48%,0.00
2024-02-07,135.71,6600.00,10956.00,11091.71,2.25%,10.92%,0.00
2024-02-08,135.71,6600.00,11094.60,11230.31,1.25%,12.30%,0.00
2024-02-19,135.71,6600.00,11200.20,11335.91,0.94%,13.36%,0.00
2024-02-20,135.71,6600.00,11193.60,11329.31,-0.06%,13.29%,0.00
2024-02-21,135.71,6600.00,11239.80,11375.51,0.41%,13.76%,0.00
2024-02-22,135.71,6600.00,11286.00,11421.71,0.41%,14.22%,0.00
2024-02-23,135.71,6600.00,11279.40,11415.11,-0.06%,14.15%,0.00
2024-02-26,135.71,6600.00,11246.40,11382.11,-0.29%,13.82%,0.00
2024-02-27,135.71,6600.00,11523.60,11659.31,2.44%,16.59%,0.00
2024-02-28,135.71,6600.00,11226.60,11362.31,-2.55%,13.62%,0.00
2024-02-29,135.71,6600.00,11622.60,11758.31,3.49%,17.58%,0.00
2024-03-01,135.71,6600.00,11715.00,11850.71,0.79%,18.51%,0.00
2024-03-04,135.71,6600.00,11767.80,11903.51,0.45%,19.04%,0.00
2024-03-05,135.71,6600.00,11748.00,11883.71,-0.17%,18.84%,0.00
